# timestamp_format: EPOCH_MILLIS
# Created at: Thu Aug 21 20:38:55 2025
 
received_at,protocol,msg_type,source,raw_data
1755801541014,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801541014,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801541014,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 84 19 ff 7f fa 02 fd 55 
1755801541014,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 04 95 06 00 00 ff ff 55 
1755801541046,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801541046,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801541046,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 84 19 ff 7f fa 02 fd 55 
1755801541046,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 1d bd 06 00 00 ff ff 55 
1755801541144,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801541144,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801541145,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 7b 19 ff 7f fa 02 fd 55 
1755801541145,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 91 b2 07 00 00 ff ff 55 
1755801541243,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801541244,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801541244,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 79 19 ff 7f fa 02 fd 55 
1755801541244,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 6e a1 07 00 00 ff ff 55 
1755801541273,NMEA2000,TCP:signalk.stupan.se:1455,129029,93 36 03 05 f8 01 ff 7f ff ff ff ff 2b 00 61 4f 38 eb 04 28 80 63 ba dc 2c 9c 14 08 50 2f a3 46 26 e4 a1 01 90 c7 37 02 00 00 00 00 12 fc 00 46 00 96 00 a0 0f 00 00 00 55 
1755801541301,NMEA2000,TCP:signalk.stupan.se:1455,129540,93 9e 06 04 fa 01 ff 7f ff ff ff ff 93 00 ff 0c 01 c5 04 45 1b 80 0c 00 00 00 00 f2 02 7f 07 7f 07 1c 0c 00 00 00 00 f2 0a 5c 10 1e d8 b8 0b 00 00 00 00 f2 0d 7f 16 fe 68 e4 0c 00 00 00 00 f2 0e 2e 17 f3 2a a0 0f 00 00 00 00 f2 0f b9 20 fd 86 54 0b 00 00 00 00 f2 11 e8 19 ad 3c 48 0d 00 00 00 00 f2 13 22 15 2d 53 1c 0c 00 00 00 00 f2 16 16 22 b9 2f 3c 0f 00 00 00 00 f2 17 68 12 13 b8 f0 0a 00 00 00 00 f2 18 e7 28 13 b8 e4 0c 00 00 00 00 f2 4c 73 14 e7 28 80 0c 00 00 00 00 f2 55 
1755801541301,NMEA2000,TCP:signalk.stupan.se:1455,126992,93 13 03 10 f0 01 ff 7f ff ff ff ff 08 00 f0 61 4f 38 eb 04 28 55 
1755801541301,NMEA2000,TCP:signalk.stupan.se:1455,129539,93 13 06 03 fa 01 ff 7f ff ff ff ff 08 00 d3 46 00 82 00 ff 7f 55 
1755801541330,NMEA2000,TCP:signalk.stupan.se:1455,127258,93 13 07 1a f1 01 ff 7f ff ff ff ff 08 00 f6 ff ff fa 02 ff ff 55 
1755801541330,NMEA2000,TCP:signalk.stupan.se:1455,127257,93 13 03 19 f1 01 ff 80 ff ff ff ff 08 00 ff 7f 70 07 12 03 ff 55 
1755801542481,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 6e 19 ff 7f fa 02 fd 55 
1755801542481,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 24 7e 07 00 00 ff ff 55 
1755801542482,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801542482,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542509,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 62 19 ff 7f fa 02 fd 55 
1755801542509,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 f4 a9 06 00 00 ff ff 55 
1755801542509,NMEA2000,TCP:signalk.stupan.se:1455,129029,93 36 03 05 f8 01 ff 7f ff ff ff ff 2b 00 61 4f 48 12 05 28 80 63 ba dc 2c 9c 14 08 50 2f a3 46 26 e4 a1 01 90 c7 37 02 00 00 00 00 12 fc 00 46 00 8c 00 a0 0f 00 00 00 55 
1755801542564,NMEA2000,TCP:signalk.stupan.se:1455,129540,93 9e 06 04 fa 01 ff 7f ff ff ff ff 93 00 ff 0c 01 c5 04 45 1b 80 0c 00 00 00 00 f2 02 7f 07 7f 07 1c 0c 00 00 00 00 f2 0a 5c 10 1e d8 b8 0b 00 00 00 00 f2 0d d1 15 fe 68 e4 0c 00 00 00 00 f2 0e 2e 17 f3 2a a0 0f 00 00 00 00 f2 0f b9 20 fd 86 54 0b 00 00 00 00 f2 11 e8 19 ad 3c 48 0d 00 00 00 00 f2 13 22 15 2d 53 1c 0c 00 00 00 00 f2 16 16 22 b9 2f 3c 0f 00 00 00 00 f2 17 68 12 13 b8 f0 0a 00 00 00 00 f2 18 e7 28 13 b8 e4 0c 00 00 00 00 f2 4c 73 14 e7 28 1c 0c 00 00 00 00 f2 55 
1755801542564,NMEA2000,TCP:signalk.stupan.se:1455,126992,93 13 03 10 f0 01 ff 7f ff ff ff ff 08 00 f0 61 4f 48 12 05 28 55 
1755801542564,NMEA2000,TCP:signalk.stupan.se:1455,129539,93 13 06 03 fa 01 ff 7f ff ff ff ff 08 00 d3 46 00 82 00 ff 7f 55 
1755801542565,NMEA2000,TCP:signalk.stupan.se:1455,127258,93 13 07 1a f1 01 ff 7f ff ff ff ff 08 00 f6 ff ff fa 02 ff ff 55 
1755801542565,NMEA2000,TCP:signalk.stupan.se:1455,127257,93 13 03 19 f1 01 ff 80 ff ff ff ff 08 00 ff 7f 74 07 17 03 ff 55 
1755801542565,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801542565,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542565,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 6a 19 ff 7f fa 02 fd 55 
1755801542565,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 f8 a1 06 00 12 05 28 55 
1755801542589,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542589,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 6c 19 ff 7f fa 02 fd 55 
1755801542589,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 36 cd 06 00 00 ff ff 55 
1755801542644,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801542644,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542644,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 6c 19 ff 7f fa 02 fd 55 
1755801542644,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 80 eb 06 00 00 ff ff 55 
1755801542746,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801542746,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542747,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 69 19 ff 7f fa 02 fd 55 
1755801542747,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 7c 27 07 00 00 ff ff 55 
1755801542846,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801542846,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542846,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 65 19 ff 7f fa 02 fd 55 
1755801542846,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 7d ec 06 00 00 ff ff 55 
1755801542994,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801542994,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
1755801542995,NMEA2000,TCP:signalk.stupan.se:1455,127250,93 13 02 12 f1 01 ff 80 ff ff ff ff 08 00 63 19 ff 7f fa 02 fd 55 
1755801542995,NMEA2000,TCP:signalk.stupan.se:1455,127251,93 13 03 13 f1 01 ff 80 ff ff ff ff 08 00 cb 1e 07 00 00 ff ff 55 
1755801543046,NMEA2000,TCP:signalk.stupan.se:1455,129026,93 13 02 02 f8 01 ff 7f ff ff ff ff 08 00 fc ff ff 00 00 ff ff 55 
1755801543047,NMEA2000,TCP:signalk.stupan.se:1455,129025,93 13 02 01 f8 01 ff 7f ff ff ff ff 08 d0 9c b4 22 3e d4 02 07 55 
