# timestamp_format: EPOCH_MILLIS
# Created at: Sat Aug 16 19:50:19 2025
 
received_at,protocol,msg_type,source,raw_data
1755366624522,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:241646000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.458Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""241646000""}},{""path"":""navigation.speedOverGround"",""value"":5.504556950043316},{""path"":""navigation.courseOverGroundTrue"",""value"":1.558579022386806},{""path"":""navigation.headingTrue"",""value"":1.535889742105699},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":9.657768333333333,""latitude"":57.793771666666665}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624522,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266064000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.460Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266064000""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":1.4084807066810219},{""path"":""navigation.state"",""value"":""fishing""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.64936,""latitude"":57.68264666666666}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624523,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:219025535"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.501Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""219025535""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.state"",""value"":""fishing""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":10.590151666666667,""latitude"":57.71953833333333}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624526,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""updates"":[{""source"":{""sentence"":""ZDA"",""talker"":""YD"",""type"":""NMEA0183"",""label"":""ydnu""},""timestamp"":""2025-08-16T17:50:24.455Z"",""values"":[{""path"":""navigation.datetime"",""value"":""2025-08-16T17:50:24.280Z""}],""$source"":""ydnu.YD""}],""context"":""vessels.urn:mrn:imo:mmsi:265599691""}
"
1755366624526,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""updates"":[{""source"":{""sentence"":""ROT"",""talker"":""YD"",""type"":""NMEA0183"",""label"":""ydnu""},""timestamp"":""2025-08-16T17:50:24.455Z"",""values"":[{""path"":""navigation.rateOfTurn"",""value"":0.013846278735649862}],""$source"":""ydnu.YD""}],""context"":""vessels.urn:mrn:imo:mmsi:265599691""}
"
1755366624526,NMEA0183,TCP:signalk.stupan.se:10114,YDZDA,"$YDZDA,175024.28,16,08,2025,,*69<0D><0A>"
1755366624526,NMEA0183,TCP:signalk.stupan.se:10114,YDROT,"$YDROT,47.6,A*0E<0D><0A>"
1755366624552,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""updates"":[{""source"":{""sentence"":""RMC"",""talker"":""GP"",""type"":""NMEA0183"",""label"":""VDR_halso""},""timestamp"":""2094-03-23T17:50:24.000Z"",""values"":[{""path"":""navigation.position"",""value"":{""longitude"":11.586438333333334,""latitude"":57.72121166666667}},{""path"":""navigation.courseOverGroundTrue"",""value"":3.723851946197887},{""path"":""navigation.speedOverGround"",""value"":4.990112375272913},{""path"":""navigation.magneticVariation"",""value"":null},{""path"":""navigation.magneticVariationAgeOfService"",""value"":3920205024},{""path"":""navigation.datetime"",""value"":""2094-03-23T17:50:24.000Z""}],""$source"":""VDR_halso.GP""}],""context"":""vessels.urn:mrn:imo:mmsi:265599691""}
"
1755366624563,NMEA0183,TCP:signalk.stupan.se:10114,GPRMC,"$GPRMC,,A,5743.2727,N,1135.1863,E,9.700,213.361,230394,,W*70<0D><0A>"
1755366624568,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:219015153"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.556Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""219015153""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":1.2130038304130237},{""path"":""navigation.headingTrue"",""value"":5.550147022609231},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.6174,""latitude"":57.77309666666667}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624569,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:219015153"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.557Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""219015153""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":1.2130038304130237},{""path"":""navigation.headingTrue"",""value"":5.550147022609231},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.6174,""latitude"":57.77309666666667}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624626,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:244790047"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.613Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""244790047""}},{""path"":""navigation.speedOverGround"",""value"":7.871001993987172},{""path"":""navigation.courseOverGroundTrue"",""value"":5.897467543835405},{""path"":""navigation.headingTrue"",""value"":5.916666165611727},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.890998333333334,""latitude"":57.223438333333334}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624648,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265612470"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.635Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265612470""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""sensors.ais.class"",""value"":""B""},{""path"":""navigation.position"",""value"":{""longitude"":11.670186666666666,""latitude"":57.73356}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624661,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""updates"":[{""source"":{""sentence"":""GSV"",""talker"":""YD"",""type"":""NMEA0183"",""label"":""ydnu""},""timestamp"":""2025-08-16T17:50:24.644Z"",""values"":[{""path"":""navigation.gnss.satellitesInView"",""value"":{""count"":12,""satellites"":[{""id"":5,""elevation"":0.19198621776321237,""azimuth"":3.5779249674053215,""SNR"":20},{""id"":13,""elevation"":1.134464014055346,""azimuth"":2.687807048684973,""SNR"":37},{""id"":14,""elevation"":0.9948376738639186,""azimuth"":1.5184364495817706,""SNR"":33},{""id"":15,""elevation"":1.1170107215314176,""azimuth"":4.415683008553884,""SNR"":34},{""id"":17,""elevation"":0.31415926543071115,""azimuth"":2.024581932775694,""SNR"":41},{""id"":22,""elevation"":1.0821041364835606,""azimuth"":2.1293016879192646,""SNR"":33},{""id"":23,""elevation"":0.5410520682417803,""azimuth"":5.305800927274233,""SNR"":37},{""id"":24,""elevation"":0.47123889814606673,""azimuth"":4.625122518841025,""SNR"":31},{""id"":30,""elevation"":0.43633231309820997,""azimuth"":1.5184364495817706,""SNR"":21},{""id"":78,""elevation"":0.20943951028714078,""azimuth"":0.8377580411485631,""SNR"":32},{""id"":80,""elevation"":0.9250245037682051,""azimuth"":3.8746309403121044,""SNR"":28},{""id"":79,""elevation"":1.1170107215314176,""azimuth"":0.9599310888160619,""SNR"":28}]}}],""$source"":""ydnu.YD""}],""context"":""vessels.urn:mrn:imo:mmsi:265599691""}
"
1755366624676,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265010930"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.658Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265010930""}},{""path"":""design.length"",""value"":{""overall"":14}},{""path"":""design.beam"",""value"":4},{""path"":""sensors.ais.fromBow"",""value"":8},{""path"":""sensors.ais.fromCenter"",""value"":1},{""path"":"""",""value"":{""communication"":{""callsignVhf"":""SF9017""}}},{""path"":""design.aisShipType"",""value"":{""id"":37,""name"":""Pleasure""}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624676,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266145000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.661Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266145000""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":2.853613327662293},{""path"":""navigation.state"",""value"":""fishing""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.67225,""latitude"":57.732616666666665}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624680,NMEA0183,TCP:signalk.stupan.se:10114,YDGSV,"$YDGSV,3,1,12,05,11,205,20,13,65,154,37,14,57,087,33,15,64,253,34*7A<0D><0A>"
1755366624680,NMEA0183,TCP:signalk.stupan.se:10114,YDGSV,"$YDGSV,3,2,12,17,18,116,41,22,62,122,33,23,31,304,37,24,27,265,31*78<0D><0A>"
1755366624680,NMEA0183,TCP:signalk.stupan.se:10114,YDGSV,"$YDGSV,3,3,12,30,25,087,21,78,12,048,32,80,53,222,28,79,64,055,28*79<0D><0A>"
1755366624681,NMEA0183,TCP:signalk.stupan.se:10114,YDGSA,"$YDGSA,A,3,05,13,14,15,17,22,23,24,30,78,80,79,0.8,1.0,,1*0F<0D><0A>"
1755366624681,NMEA0183,TCP:signalk.stupan.se:10114,YDXDR,"$YDXDR,A,4.27,D,Rolm5!`%#""!*04<0D><0A>"
1755366624681,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:266145000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.668Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""266145000""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":2.853613327662293},{""path"":""navigation.state"",""value"":""fishing""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.67225,""latitude"":57.732616666666665}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624727,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265511420"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.715Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265511420""}},{""path"":""navigation.speedOverGround"",""value"":0.051444457477040344},{""path"":""navigation.courseOverGroundTrue"",""value"":6.01091394524094},{""path"":""navigation.headingTrue"",""value"":1.7627825449167682},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.871846666666666,""latitude"":57.682008333333336}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624780,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265068090"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.768Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265068090""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":6.1767202242182595},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.979943333333333,""latitude"":57.720485}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624792,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:265068090"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.780Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""265068090""}},{""path"":""navigation.speedOverGround"",""value"":0},{""path"":""navigation.courseOverGroundTrue"",""value"":6.1767202242182595},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":11.979943333333333,""latitude"":57.720485}}],""$source"":""Gunnar_TCP.AI""}]}
"
1755366624799,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""updates"":[{""source"":{""sentence"":""HDM"",""talker"":""HC"",""type"":""NMEA0183"",""label"":""VDR_halso""},""timestamp"":""2025-08-16T17:50:24.785Z"",""values"":[{""path"":""navigation.headingMagnetic"",""value"":3.6714920686261014}],""$source"":""VDR_halso.HC""}],""context"":""vessels.urn:mrn:imo:mmsi:265599691""}
"
1755366624801,SignalK,signalk.stupan.se:3000,"vessels.urn:mrn:imo:mmsi:265599691","{""context"":""vessels.urn:mrn:imo:mmsi:245306000"",""updates"":[{""source"":{""sentence"":""VDM"",""talker"":""AI"",""type"":""NMEA0183"",""label"":""Gunnar_TCP""},""timestamp"":""2025-08-16T17:50:24.788Z"",""values"":[{""path"":"""",""value"":{""mmsi"":""245306000""}},{""path"":""navigation.speedOverGround"",""value"":5.041556832749953},{""path"":""navigation.courseOverGroundTrue"",""value"":0.685914396190386},{""path"":""navigation.headingTrue"",""value"":0.6457718233853508},{""path"":""navigation.state"",""value"":""motoring""},{""path"":""sensors.ais.class"",""value"":""A""},{""path"":""navigation.specialManeuver"",""value"":""not available""},{""path"":""navigation.position"",""value"":{""longitude"":18.691536666666668,""latitude"":62.6164}}],""$source"":""Gunnar_TCP.AI""}]}
"
